TC_ID;KATEGORIA;PODKATEGORIA;PRIORYTET;OPIS;REQUEST_streetName;REQUEST_buildingNumber;REQUEST_city;REQUEST_postalCode;EXPECTED_VerificationStatus;EXPECTED_streetName;EXPECTED_buildingNumber;EXPECTED_city;EXPECTED_postalCode;EXPECTED_province;EXPECTED_district;EXPECTED_commune;EXPECTED_streetProbability;EXPECTED_cityProbability;EXPECTED_postalCodeProbability;EXPECTED_combinedProbability;EXPECTED_postOfficeLocation;EXPECTED_isMultiFamily;UWAGI;RYZYKO_BLEDU
TC-372;Błędna kombinacja;Cecha;High;"Wpisano ""ul. Kasprowicza"", ale kod pasuje do ""pl. Kasprowicza""";ul. Kasprowicza;;Inowrocław;88-100;InVerification;Kasprowicza;Jana;Inowrocław;88-100;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""pl."" - może przypisać do placu";RYZYKO: Może przypisać do pl. zamiast ul. jeśli kod pasuje do placu
TC-373;Błędna kombinacja;Cecha;High;"Wpisano ""ul. Górna"", ale kod pasuje do ""os. Górna""";ul. Górna;;Tomaszów Mazowiecki;97-200;InVerification;Górna;;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""os."" - może przypisać do osiedla";RYZYKO: Może przypisać do os. zamiast ul. jeśli kod pasuje do osiedla
TC-374;Błędna kombinacja;Cecha;High;"Wpisano ""ul. Strzelecka"", ale kod pasuje do ""os. Strzelecka""";ul. Strzelecka;;Tomaszów Mazowiecki;97-200;InVerification;Strzelecka;;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""os."" - może przypisać do osiedla";RYZYKO: Może przypisać do os. zamiast ul. jeśli kod pasuje do osiedla
TC-375;Błędna kombinacja;Cecha;High;"Wpisano ""ul. Piłsudskiego"", ale kod pasuje do ""rondo Piłsudskiego""";ul. Piłsudskiego;;Gorzów Wielkopolski;66-400;InVerification;Piłsudskiego;marsz. Józefa;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""rondo"" - może przypisać do ronda";RYZYKO: Może przypisać do rondo zamiast ul. jeśli kod pasuje do ronda
TC-376;Błędna kombinacja;Cecha;High;"Wpisano ""ul. Wyszyńskiego"", ale kod pasuje do ""rondo Wyszyńskiego""";ul. Wyszyńskiego;;Gorzów Wielkopolski;66-400;InVerification;Wyszyńskiego;kard. Stefana;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""rondo"" - może przypisać do ronda";RYZYKO: Może przypisać do rondo zamiast ul. jeśli kod pasuje do ronda
TC-377;Błędna kombinacja;Cecha;High;"Wpisano ""ul. Kościuszki"", ale kod pasuje do ""pl. Kościuszki""";ul. Kościuszki;;Wrocław;50-000;InVerification;Kościuszki;Tadeusza;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.4;>0.9;<0.3;<0.4;;false;"Wpisano ""ul."" ale kod pasuje do ""pl."" - może przypisać do placu i/lub złej delegatury";RYZYKO: Może przypisać do pl. zamiast ul. i/lub złej delegatury jeśli kod pasuje do placu
TC-378;Błędna kombinacja;Cecha;High;"Wpisano ""ul. Piłsudskiego"", ale kod pasuje do ""pl. Piłsudskiego""";ul. Piłsudskiego;;Wrocław;50-000;InVerification;Piłsudskiego;marsz. Józefa;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.4;>0.9;<0.3;<0.4;;false;"Wpisano ""ul."" ale kod pasuje do ""pl."" - może przypisać do placu i/lub złej delegatury";RYZYKO: Może przypisać do pl. zamiast ul. i/lub złej delegatury jeśli kod pasuje do placu
TC-451;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Górzno: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Górzno;;InVerification;rynek Rynek;;Górzno;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-452;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Jabłonowo Pomorskie: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Jabłonowo Pomorskie;;InVerification;rynek Rynek;;Jabłonowo Pomorskie;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-453;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Bolesławiec: wpisano """" ale powinno być ""rynek""";Rynek;;Bolesławiec;;InVerification;rynek Rynek;;Bolesławiec;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-454;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Nowogrodziec: wpisano """" ale powinno być ""rynek""";Rynek;;Nowogrodziec;;InVerification;rynek Rynek;;Nowogrodziec;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-455;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Brzeźnio: wpisano ""ul."" ale powinno być ""al.""";ul. al. 3 Maja;;Brzeźnio;;InVerification;al. al. 3 Maja;;Brzeźnio;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""al.""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-456;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Niemcza: wpisano """" ale powinno być ""rynek""";Rynek;;Niemcza;;InVerification;rynek Rynek;;Niemcza;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-457;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Sieradz: wpisano ""ul."" ale powinno być ""droga""";ul. Droga Brzezińska;;Sieradz;;InVerification;droga Droga Brzezińska;;Sieradz;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""droga""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-458;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Konopnica: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Konopnica;;InVerification;rynek Rynek;;Konopnica;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-459;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Łaszczówka: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Łaszczówka;;InVerification;rynek Rynek;;Łaszczówka;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-460;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Tyszowce: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Tyszowce;;InVerification;rynek Rynek;;Tyszowce;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-461;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Włodawa: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Włodawa;;InVerification;rynek Rynek;;Włodawa;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-462;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Grabowiec: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Grabowiec;;InVerification;rynek Rynek;;Grabowiec;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-463;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Komarów-Osada: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Komarów-Osada;;InVerification;rynek Rynek;;Komarów-Osada;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-464;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Krasnobród: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Krasnobród;;InVerification;rynek Rynek;;Krasnobród;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-465;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Skierbieszów: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Skierbieszów;;InVerification;rynek Rynek;;Skierbieszów;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-466;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Zwierzyniec: wpisano ""pl."" ale powinno być ""rynek""";pl. Rynek;;Zwierzyniec;;InVerification;rynek Rynek;;Zwierzyniec;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""pl."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-467;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Chełm: wpisano ""ul."" ale powinno być ""droga""";ul. Droga Męczenników;;Chełm;;InVerification;droga Droga Męczenników;;Chełm;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""droga""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-468;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Jawor: wpisano """" ale powinno być ""rynek""";Rynek;;Jawor;;InVerification;rynek Rynek;;Jawor;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-469;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Bolków: wpisano """" ale powinno być ""rynek""";Rynek;;Bolków;;InVerification;rynek Rynek;;Bolków;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-470;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Koronowo: wpisano ""ul."" ale powinno być ""droga""";ul. Droga do Różanny;;Koronowo;;InVerification;droga Droga do Różanny;;Koronowo;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""droga""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-471;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Przesieka: wpisano ""ul."" ale powinno być ""droga""";ul. Droga Liczyrzepy;;Przesieka;;InVerification;droga Droga Liczyrzepy;;Przesieka;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""droga""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-472;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Chełmno: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Chełmno;;InVerification;rynek Rynek;;Chełmno;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-473;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Duszniki-Zdrój: wpisano """" ale powinno być ""rynek""";Rynek;;Duszniki-Zdrój;;InVerification;rynek Rynek;;Duszniki-Zdrój;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-474;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Prusice: wpisano """" ale powinno być ""rynek""";Rynek;;Prusice;;InVerification;rynek Rynek;;Prusice;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-475;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Strupina: wpisano """" ale powinno być ""rynek""";Rynek;;Strupina;;InVerification;rynek Rynek;;Strupina;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-476;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Trzebnica: wpisano """" ale powinno być ""rynek""";Rynek;;Trzebnica;;InVerification;rynek Rynek;;Trzebnica;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-477;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Brzeg Dolny: wpisano """" ale powinno być ""rynek""";Rynek;;Brzeg Dolny;;InVerification;rynek Rynek;;Brzeg Dolny;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-478;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Wołów: wpisano """" ale powinno być ""rynek""";Rynek;;Wołów;;InVerification;rynek Rynek;;Wołów;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha """" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-479;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Przesieka: wpisano ""ul."" ale powinno być ""droga""";ul. Droga do Wodospadu;;Przesieka;;InVerification;droga Droga do Wodospadu;;Przesieka;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""droga""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-480;Błędna kombinacja;Cecha;High;"Niezgodność cecha - Grudziądz: wpisano ""ul."" ale powinno być ""rynek""";ul. Rynek;;Grudziądz;;InVerification;rynek Rynek;;Grudziądz;;;;;<0.7;<0.7;<0.7;<0.7;;false;"Cecha ""ul."" nie pasuje do nazwy ulicy - powinno być ""rynek""";RYZYKO: Może przypisać do niewłaściwej ulicy jeśli cecha nie jest znormalizowana
TC-379;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Słowackiego"", ale kod pasuje do ""wyb. Słowackiego""";ul. Słowackiego;;Wrocław;50-000;InVerification;Słowackiego;Juliusza;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.4;>0.9;<0.3;<0.4;;false;"Wpisano ""ul."" ale kod pasuje do ""wyb."" - może przypisać do wybrzeża i/lub złej delegatury";RYZYKO: Może przypisać do wyb. zamiast ul. i/lub złej delegatury jeśli kod pasuje do wybrzeża
TC-380;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Rędzińska"", ale kod pasuje do ""wyspa Rędzińska""";ul. Rędzińska;;Wrocław;50-000;InVerification;Rędzińska;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""wyspa"" - może przypisać do wyspy i/lub złej delegatury";RYZYKO: Może przypisać do wyspa zamiast ul. i/lub złej delegatury jeśli kod pasuje do wyspy
TC-381;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Opatowicka"", ale kod pasuje do ""wyspa Opatowicka""";ul. Opatowicka;;Wrocław;50-000;InVerification;Opatowicka;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""wyspa"" - może przypisać do wyspy";RYZYKO: Może przypisać do wyspa zamiast ul. jeśli kod pasuje do wyspy
TC-382;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Korfantego"", ale kod pasuje do ""skwer Korfantego""";ul. Korfantego;;Wrocław;50-000;InVerification;Korfantego;Wojciecha;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""skwer"" - może przypisać do skweru";RYZYKO: Może przypisać do skwer zamiast ul. jeśli kod pasuje do skweru
TC-383;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Bema"", ale kod pasuje do ""pl. Bema""";ul. Bema;;Wrocław;50-000;InVerification;Bema;gen. Józefa;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""pl."" - może przypisać do placu";RYZYKO: Może przypisać do pl. zamiast ul. jeśli kod pasuje do placu
TC-384;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Mikołaja"", ale kod pasuje do ""pl. Mikołaja""";ul. Mikołaja;;Wrocław;50-000;InVerification;Mikołaja;św.;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""pl."" - może przypisać do placu";RYZYKO: Może przypisać do pl. zamiast ul. jeśli kod pasuje do placu
TC-385;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Powstańców Śląskich"", ale kod pasuje do ""pl. Powstańców Śląskich""";ul. Powstańców Śląskich;;Wrocław;50-000;InVerification;Powstańców Śląskich;;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""pl."" - może przypisać do placu";RYZYKO: Może przypisać do pl. zamiast ul. jeśli kod pasuje do placu
TC-386;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Schneidera"", ale kod pasuje do ""skwer Schneidera""";ul. Schneidera;;Wrocław;50-000;InVerification;Schneidera;ks. Jana;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""skwer"" - może przypisać do skweru";RYZYKO: Może przypisać do skwer zamiast ul. jeśli kod pasuje do skweru
TC-387;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Kajdasza"", ale kod pasuje do ""skwer Kajdasza""";ul. Kajdasza;;Wrocław;50-000;InVerification;Kajdasza;Edmunda;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""skwer"" - może przypisać do skweru";RYZYKO: Może przypisać do skwer zamiast ul. jeśli kod pasuje do skweru
TC-388;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Rysia"", ale kod pasuje do ""skwer Rysia""";ul. Rysia;;Wrocław;50-000;InVerification;Rysia;Zbigniewa;Wrocław;50-000;DOLNOŚLĄSKIE;Wrocław;Wrocław;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""skwer"" - może przypisać do skweru i/lub złej delegatury";RYZYKO: Może przypisać do skwer zamiast ul. i/lub złej delegatury jeśli kod pasuje do skweru
TC-389;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Matejki"", ale kod pasuje do ""park Matejki""";ul. Matejki;;Łódź;90-000;InVerification;Matejki;Jana;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""park"" - może przypisać do parku";RYZYKO: Może przypisać do park zamiast ul. jeśli kod pasuje do parku
TC-390;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Moniuszki"", ale kod pasuje do ""park Moniuszki""";ul. Moniuszki;;Łódź;90-000;InVerification;Moniuszki;Stanisława;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""park"" - może przypisać do parku";RYZYKO: Może przypisać do park zamiast ul. jeśli kod pasuje do parku
TC-391;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Sienkiewicza"", ale kod pasuje do ""park Sienkiewicza""";ul. Sienkiewicza;;Łódź;90-000;InVerification;Sienkiewicza;Henryka;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""park"" - może przypisać do parku";RYZYKO: Może przypisać do park zamiast ul. jeśli kod pasuje do parku
TC-392;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Nad Jasieniem"", ale kod pasuje do ""park Nad Jasieniem""";ul. Nad Jasieniem;;Łódź;90-000;InVerification;Nad Jasieniem;;Łódź;90-000;ŁÓDZKIE;Łódź;Łódź;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""park"" - może przypisać do parku i/lub złej delegatury";RYZYKO: Może przypisać do park zamiast ul. i/lub złej delegatury jeśli kod pasuje do parku
TC-393;Błędna kombinacja;Cecha;Medium;"Wpisano ""ul. Sowińskiego"", ale kod pasuje do ""park Sowińskiego""";ul. Sowińskiego;;Zielona Góra;65-000;InVerification;Sowińskiego;Generała Józefa;Zielona Góra;65-000;LUBUSKIE;Zielona Góra;Zielona Góra;<0.5;>0.9;<0.3;<0.5;;false;"Wpisano ""ul."" ale kod pasuje do ""park"" - może przypisać do parku";RYZYKO: Może przypisać do park zamiast ul. jeśli kod pasuje do parku
