"NAZWA_WOJ";"NAZWA_POW";"NAZWA_GMI";"NAZWA_MIEJSCOWOSCI";"SYM_UL";"CECHA";"NAZWA_1";"NAZWA_2";"PASUJACA_CECHA"
"MAŁOPOLSKIE";"chrzanowski";"Trzebinia";"Trzebinia";"19252";"";"Rynek";"";"rynek"
"ŁÓDZKIE";"wieruszowski";"Wieruszów";"Wieruszów";"19252";"";"Rynek";"";"rynek"
"LUBUSKIE";"wschowski";"Sława";"Sława";"19251";"pl.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"kłodzki";"Nowa Ruda";"Nowa Ruda";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"kłodzki";"Lądek-Zdrój";"Lądek-Zdrój";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"kłodzki";"Radków";"Radków";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"krakowski";"Skawina";"Radziszów";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"krakowski";"Zabierzów";"Rudawa";"19253";"ul.";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"golubsko-dobrzyński";"Golub-Dobrzyń";"Golub-Dobrzyń";"19253";"ul.";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"grudziądzki";"Łasin";"Łasin";"19253";"ul.";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"inowrocławski";"Inowrocław";"Inowrocław";"19253";"ul.";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"inowrocławski";"Gniewkowo";"Gniewkowo";"19253";"ul.";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"inowrocławski";"Kruszwica";"Kruszwica";"04225";"ul.";"Droga Młyńska";"";"droga"
"KUJAWSKO-POMORSKIE";"inowrocławski";"Kruszwica";"Kruszwica";"19253";"ul.";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"inowrocławski";"Pakość";"Pakość";"19253";"ul.";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"mogileński";"Mogilno";"Mogilno";"19253";"ul.";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"mogileński";"Mogilno";"Gębice";"19253";"ul.";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"mogileński";"Strzelno";"Strzelno";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"legnicki";"Chojnów";"Chojnów";"19252";"";"Rynek";"";"rynek"
"LUBUSKIE";"żarski";"Trzebiel";"Trzebiel";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"wschowski";"Szlichtyngowa";"Szlichtyngowa";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"wschowski";"Wschowa";"Wschowa";"19253";"ul.";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"Toruń";"Toruń";"Toruń";"04202";"ul.";"Droga Czarnobłocka";"";"droga"
"KUJAWSKO-POMORSKIE";"Toruń";"Toruń";"Toruń";"04236";"ul.";"Droga Starotoruńska";"";"droga"
"KUJAWSKO-POMORSKIE";"Toruń";"Toruń";"Toruń";"38863";"";"Rondo Czadcy";"";"rondo"
"LUBELSKIE";"Biała Podlaska";"Biała Podlaska";"Biała Podlaska";"31743";"ul.";"Droga Wojskowa";"";"droga"
"ŁÓDZKIE";"zduńskowolski";"Zduńska Wola";"Zduńska Wola";"29074";"";"Park Miejski im. Stefana Złotnickiego";"";"park"
"DOLNOŚLĄSKIE";"legnicki";"Prochowice";"Prochowice";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"gorlicki";"Gorlice";"Gorlice";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"krakowski";"Krzeszowice";"Krzeszowice";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"krakowski";"Mogilany";"Mogilany";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"krakowski";"Skała";"Skała";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"krakowski";"Skawina";"Skawina";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"limanowski";"Limanowa";"Limanowa";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"limanowski";"Mszana Dolna";"Mszana Dolna";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"krakowski";"Zielonki";"Bibice";"19251";"pl.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"miechowski";"Miechów";"Miechów";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"myślenicki";"Dobczyce";"Dobczyce";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"nowosądecki";"Grybów";"Grybów";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"nowosądecki";"Krynica-Zdrój";"Tylicz";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"nowosądecki";"Muszyna";"Muszyna";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"nowosądecki";"Piwniczna-Zdrój";"Piwniczna-Zdrój";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"nowosądecki";"Stary Sącz";"Stary Sącz";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"karkonoski";"Podgórzyn";"Przesieka";"04241";"ul.";"Droga Zachełmska";"";"droga"
"ŁÓDZKIE";"bełchatowski";"Bełchatów";"Bełchatów";"33660";"ul.";"Rynek Grocholski";"";"rynek"
"MAŁOPOLSKIE";"nowotarski";"Krościenko nad Dunajcem";"Krościenko nad Dunajcem";"19253";"ul.";"Rynek";"";"rynek"
"ŁÓDZKIE";"łaski";"Widawa";"Widawa";"38857";"";"Rynek Kościuszki";"";"rynek"
"LUBELSKIE";"biłgorajski";"Biłgoraj";"Biłgoraj";"37506";"";"Park Solidarności";"";"park"
"LUBELSKIE";"bialski";"Kodeń";"Kodeń";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"bialski";"Sławatycze";"Sławatycze";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"bialski";"Wisznice";"Horodyszcze";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"bialski";"Wisznice";"Wisznice";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"biłgorajski";"Frampol";"Frampol";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"biłgorajski";"Tarnogród";"Tarnogród";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"chełmski";"Dubienka";"Dubienka";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"chełmski";"Sawin";"Sawin";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"chełmski";"Wojsławice";"Wojsławice";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"hrubieszowski";"Hrubieszów";"Hrubieszów";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"hrubieszowski";"Horodło";"Horodło";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"lubartowski";"Lubartów";"Lubartów";"19261";"ul.";"Rynek II";"";"rynek"
"LUBELSKIE";"biłgorajski";"Biłgoraj";"Biłgoraj";"04237";"ul.";"Droga Straceń 1941-1944";"";"droga"
"LUBELSKIE";"lubartowski";"Michów";"Michów";"19261";"ul.";"Rynek II";"";"rynek"
"LUBELSKIE";"hrubieszowski";"Mircze";"Kryłów";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"lubański";"Leśna";"Leśna";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"lubański";"Leśna";"Pobiedna";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"lubiński";"Lubin";"Lubin";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"lubiński";"Rudna";"Chobienia";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"lubiński";"Ścinawa";"Ścinawa";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"lwówecki";"Gryfów Śląski";"Gryfów Śląski";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"wołowski";"Wołów";"Wołów";"37726";"pl.";"Skwer Solidarności";"";"skwer"
"DOLNOŚLĄSKIE";"oleśnicki";"Dobroszyce";"Dobroszyce";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"wołowski";"Wołów";"Wołów";"36863";"pl.";"Skwer Sybiraków";"";"skwer"
"DOLNOŚLĄSKIE";"milicki";"Milicz";"Milicz";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"milicki";"Milicz";"Sułów";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"oleśnicki";"Oleśnica";"Oleśnica";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"oleśnicki";"Bierutów";"Bierutów";"19252";"";"Rynek";"";"rynek"
"ŁÓDZKIE";"łowicki";"Bielawy";"Bielawy";"19253";"ul.";"Rynek";"";"rynek"
"ŁÓDZKIE";"łódzki wschodni";"Koluszki";"Koluszki";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"hrubieszowski";"Uchanie";"Uchanie";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"janowski";"Janów Lubelski";"Janów Lubelski";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"kraśnicki";"Annopol";"Annopol";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"lubartowski";"Firlej";"Firlej";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"lubartowski";"Jeziorzany";"Jeziorzany";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"lubartowski";"Lubartów";"Lubartów";"19260";"ul.";"Rynek I";"";"rynek"
"LUBELSKIE";"lubartowski";"Michów";"Michów";"19260";"ul.";"Rynek I";"";"rynek"
"LUBELSKIE";"lubelski";"Bełżyce";"Bełżyce";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"lubelski";"Bychawa";"Bychawa";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"Lublin";"Lublin";"Lublin";"04224";"ul.";"Droga Męczenników Majdanka";"";"droga"
"LUBELSKIE";"Lublin";"Lublin";"Lublin";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"nowotarski";"Rabka-Zdrój";"Rabka-Zdrój";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"olkuski";"Wolbrom";"Wolbrom";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"olkuski";"Olkusz";"Olkusz";"19252";"";"Rynek";"";"rynek"
"KUJAWSKO-POMORSKIE";"Toruń";"Toruń";"Toruń";"04239";"ul.";"Droga Trzeposka";"";"droga"
"ŁÓDZKIE";"brzeziński";"Brzeziny";"Brzeziny";"04225";"ul.";"Droga Młyńska";"";"droga"
"ŁÓDZKIE";"piotrkowski";"Gorzkowice";"Gorzkowice";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"wrocławski";"Sobótka";"Sobótka";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"ząbkowicki";"Ząbkowice Śląskie";"Ząbkowice Śląskie";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"ząbkowicki";"Złoty Stok";"Złoty Stok";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"złotoryjski";"Złotoryja";"Złotoryja";"19252";"";"Rynek";"";"rynek"
"LUBELSKIE";"Zamość";"Zamość";"Zamość";"28449";"ul.";"Rynek Solny";"";"rynek"
"LUBELSKIE";"Zamość";"Zamość";"Zamość";"37485";"ul.";"Droga Męczenników Rotundy";"";"droga"
"LUBELSKIE";"Zamość";"Zamość";"Zamość";"28450";"ul.";"Rynek Wielki";"";"rynek"
"LUBUSKIE";"międzyrzecki";"Bledzew";"Bledzew";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"międzyrzecki";"Międzyrzecz";"Międzyrzecz";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"gorzowski";"Witnica";"Witnica";"38831";"ul.";"Droga Jana Pawła II";"";"droga"
"MAŁOPOLSKIE";"oświęcimski";"Kęty";"Kęty";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"suski";"Jordanów";"Jordanów";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"suski";"Sucha Beskidzka";"Sucha Beskidzka";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"suski";"Maków Podhalański";"Maków Podhalański";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"proszowicki";"Proszowice";"Proszowice";"19252";"";"Rynek";"";"rynek"
"LUBELSKIE";"lubelski";"Wysokie";"Wysokie";"19263";"ul.";"Rynek Jabłonowskich";"";"rynek"
"LUBELSKIE";"łęczyński";"Łęczna";"Łęczna";"19261";"ul.";"Rynek II";"";"rynek"
"LUBELSKIE";"łęczyński";"Łęczna";"Łęczna";"19262";"ul.";"Rynek III";"";"rynek"
"MAŁOPOLSKIE";"tarnowski";"Zakliczyn";"Zakliczyn";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"tarnowski";"Żabno";"Żabno";"19252";"";"Rynek";"";"rynek"
"LUBELSKIE";"łęczyński";"Puchaczów";"Puchaczów";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"łukowski";"Serokomla";"Serokomla";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"opolski";"Chodel";"Chodel";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"wadowicki";"Kalwaria Zebrzydowska";"Kalwaria Zebrzydowska";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"wadowicki";"Spytkowice";"Spytkowice";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"wielicki";"Niepołomice";"Niepołomice";"04219";"ul.";"Droga Królewska";"";"droga"
"LUBELSKIE";"puławski";"Baranów";"Baranów";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"międzyrzecki";"Pszczew";"Pszczew";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"międzyrzecki";"Skwierzyna";"Skwierzyna";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"nowosolski";"Bytom Odrzański";"Bytom Odrzański";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"nowosolski";"Kolsko";"Kolsko";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"nowosolski";"Kolsko";"Konotop";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"nowosolski";"Kożuchów";"Kożuchów";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"nowosolski";"Nowe Miasteczko";"Nowe Miasteczko";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"puławski";"Kazimierz Dolny";"Kazimierz Dolny";"04200";"ul.";"Droga Akacjowa";"";"droga"
"LUBUSKIE";"słubicki";"Ośno Lubuskie";"Ośno Lubuskie";"19253";"ul.";"Rynek";"";"rynek"
"ŁÓDZKIE";"Skierniewice";"Skierniewice";"Skierniewice";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"bocheński";"Bochnia";"Bochnia";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"bocheński";"Nowy Wiśnicz";"Nowy Wiśnicz";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"brzeski";"Brzesko";"Brzesko";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"brzeski";"Czchów";"Czchów";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"chrzanowski";"Alwernia";"Alwernia";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"oławski";"Oława";"Oława";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"brzeski";"Szczurowa";"Szczurowa";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"oleśnicki";"Międzybórz";"Międzybórz";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"polkowicki";"Polkowice";"Polkowice";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"Legnica";"Legnica";"Legnica";"19252";"";"Rynek";"";"rynek"
"LUBUSKIE";"strzelecko-drezdenecki";"Strzelce Krajeńskie";"Strzelce Krajeńskie";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"Legnica";"Legnica";"Legnica";"38341";"";"Rondo Unii Europejskiej";"";"rondo"
"LUBUSKIE";"zielonogórski";"Czerwieńsk";"Czerwieńsk";"19251";"pl.";"Rynek";"";"rynek"
"LUBUSKIE";"świebodziński";"Zbąszynek";"Zbąszynek";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"zielonogórski";"Babimost";"Babimost";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"zielonogórski";"Kargowa";"Kargowa";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"zielonogórski";"Nowogród Bobrzański";"Nowogród Bobrzański";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"kozienicki";"Garbatka-Letnisko";"Garbatka-Letnisko";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"kozienicki";"Gniewoszów";"Gniewoszów";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"kozienicki";"Kozienice";"Ryczywół";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"kozienicki";"Sieciechów";"Sieciechów";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"legionowski";"Nieporęt";"Nieporęt";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"legionowski";"Serock";"Serock";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"puławski";"Janowiec";"Janowiec";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"puławski";"Kazimierz Dolny";"Kazimierz Dolny";"04216";"ul.";"Droga Jaśminowa";"";"droga"
"LUBELSKIE";"puławski";"Kazimierz Dolny";"Kazimierz Dolny";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"puławski";"Markuszów";"Markuszów";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"radzyński";"Radzyń Podlaski";"Radzyń Podlaski";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"rycki";"Dęblin";"Dęblin";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"rycki";"Ryki";"Bobrowniki";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"rycki";"Stężyca";"Stężyca";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"rycki";"Ryki";"Ryki";"19278";"ul.";"Rynek Stary";"";"rynek"
"MAZOWIECKIE";"piaseczyński";"Piaseczno";"Jesówka";"04212";"ul.";"Droga Dzików";"";"droga"
"MAZOWIECKIE";"piaseczyński";"Piaseczno";"Zalesie Górne";"04212";"ul.";"Droga Dzików";"";"droga"
"MAZOWIECKIE";"piaseczyński";"Piaseczno";"Domanka";"04212";"ul.";"Droga Dzików";"";"droga"
"LUBELSKIE";"tomaszowski";"Tomaszów Lubelski";"Tomaszów Lubelski";"28449";"ul.";"Rynek Solny";"";"rynek"
"MAZOWIECKIE";"piaseczyński";"Piaseczno";"Jesówka";"35991";"ul.";"Droga Żubrów";"";"droga"
"LUBUSKIE";"gorzowski";"Witnica";"Witnica";"38359";"ul.";"Droga Polna";"";"droga"
"LUBUSKIE";"gorzowski";"Witnica";"Białcz";"38359";"ul.";"Droga Polna";"";"droga"
"MAŁOPOLSKIE";"olkuski";"Bukowno";"Bukowno";"20185";"ul.";"Skwer";"";"skwer"
"LUBELSKIE";"świdnicki";"Piaski";"Piaski";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"świdnicki";"Trawniki";"Biskupice";"19253";"ul.";"Rynek";"";"rynek"
"LUBELSKIE";"tomaszowski";"Tomaszów Lubelski";"Tomaszów Lubelski";"19253";"ul.";"Rynek";"";"rynek"
"ŁÓDZKIE";"piotrkowski";"Sulejów";"Sulejów";"19253";"ul.";"Rynek";"";"rynek"
"ŁÓDZKIE";"poddębicki";"Pęczniew";"Pęczniew";"19252";"";"Rynek";"";"rynek"
"ŁÓDZKIE";"poddębicki";"Uniejów";"Uniejów";"19252";"";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"tatrzański";"Kościelisko";"Kościelisko";"04226";"ul.";"Droga na Wierch";"";"droga"
"MAŁOPOLSKIE";"wielicki";"Niepołomice";"Niepołomice";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"strzeliński";"Strzelin";"Strzelin";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"średzki";"Kostomłoty";"Kostomłoty";"19253";"ul.";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"świdnicki";"Świebodzice";"Świebodzice";"15703";"ul.";"Park Miejski";"";"park"
"DOLNOŚLĄSKIE";"świdnicki";"Świebodzice";"Świebodzice";"19252";"";"Rynek";"";"rynek"
"DOLNOŚLĄSKIE";"świdnicki";"Strzegom";"Strzegom";"19252";"";"Rynek";"";"rynek"
"MAZOWIECKIE";"lipski";"Lipsko";"Lipsko";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"lipski";"Rzeczniów";"Grabowiec";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"łosicki";"Łosice";"Łosice";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"makowski";"Maków Mazowiecki";"Maków Mazowiecki";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"makowski";"Krasnosielc";"Krasnosielc";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"piaseczyński";"Tarczyn";"Tarczyn";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"płocki";"Drobin";"Drobin";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"żarski";"Żary";"Żary";"19251";"pl.";"Rynek";"";"rynek"
"LUBUSKIE";"żagański";"Żagań";"Żagań";"19253";"ul.";"Rynek";"";"rynek"
"LUBUSKIE";"żagański";"Szprotawa";"Szprotawa";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"warszawski zachodni";"Stare Babice";"Stare Babice";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"wołomiński";"Kobyłka";"Kobyłka";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"miński";"Stanisławów";"Stanisławów";"19253";"ul.";"Rynek";"";"rynek"
"MAZOWIECKIE";"mławski";"Szreńsk";"Szreńsk";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"Nowy Sącz";"Nowy Sącz";"Nowy Sącz";"19253";"ul.";"Rynek";"";"rynek"
"MAŁOPOLSKIE";"Kraków";"Kraków-Podgórze";"Kraków";"28296";"ul.";"Droga Rokadowa";"";"droga"
"MAŁOPOLSKIE";"Kraków";"Kraków-Śródmieście";"Kraków";"38399";"ul.";"Droga nad Białuchą";"";"droga"
"ŁÓDZKIE";"radomszczański";"Przedbórz";"Przedbórz";"19253";"ul.";"Rynek";"";"rynek"
"ŁÓDZKIE";"radomszczański";"Wielgomłyny";"Wielgomłyny";"19253";"ul.";"Rynek";"";"rynek"
