TC_ID;KATEGORIA;PRIORYTET;OPIS;REQUEST_streetName;REQUEST_buildingNumber;REQUEST_city;REQUEST_postalCode;EXPECTED_streetName;EXPECTED_buildingNumber;EXPECTED_city;EXPECTED_postalCode;EXPECTED_province;EXPECTED_district;EXPECTED_commune;EXPECTED_streetProbability;EXPECTED_cityProbability;EXPECTED_postalCodeProbability;EXPECTED_combinedProbability;UWAGI;RYZYKO_BLEDU
TC-011;Błędne dopasowanie;High;Podobne nazwy - Bolesławiec vs Bolesławice;Lipowa;;Bolesławiec;59-700;ul. Lipowa;;Bolesławiec;59-700;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;>0.9;>0.9;>0.8;>0.9;Ryzyko przypisania do Bolesławic (jeśli istnieje) zamiast Bolesławca;RYZYKO: Może przypisać do miasta o podobnej nazwie
TC-012;Błędne dopasowanie;High;"Nowy Zbrachlin vs Nowy Targ vs Nowy Sącz (wszystkie zaczynają się na ""Nowy"")";Leśna;;Nowy Zbrachlin;;ul. Leśna;;Nowy Zbrachlin;;KUJAWSKO-POMORSKIE;aleksandrowski;Waganiec;>0.9;>0.85;>0.8;>0.85;"Podobne nazwy miast zaczynające się na ""Nowy"" - ryzyko przypisania do złego";"RYZYKO: Może przypisać do Nowy Targ, Nowy Sącz lub innego miasta zaczynającego się na ""Nowy"""
TC-013;Błędne dopasowanie;High;Raciążek vs Raciąż (podobne nazwy);Lipowa;;Raciążek;;ul. Lipowa;;Raciążek;;KUJAWSKO-POMORSKIE;aleksandrowski;Raciążek;>0.9;>0.85;>0.8;>0.85;Podobne nazwy Raciążek vs Raciąż - ryzyko przypisania do złego;RYZYKO: Może przypisać do Raciąż zamiast Raciążek lub odwrotnie
TC-014;Błędne dopasowanie;High;Podobne nazwy - Zakrzewo vs Zakrzew;Kujawska;;Zakrzewo;87-700;ul. Kujawska;;Zakrzewo;87-700;KUJAWSKO-POMORSKIE;aleksandrowski;Zakrzewo;>0.9;>0.9;>0.9;>0.9;Ryzyko przypisania do Zakrzewa (bez 'o') jeśli istnieje;RYZYKO: Może przypisać do miasta o podobnej nazwie
TC-015;Błędne dopasowanie;High;Bądkowo vs Bądkowo Kościelne (podobne nazwy);Kujawska;;Bądkowo;;ul. Kujawska;;Bądkowo;;KUJAWSKO-POMORSKIE;aleksandrowski;Bądkowo;>0.9;>0.85;>0.8;>0.85;Podobne nazwy Bądkowo vs Bądkowo Kościelne - ryzyko przypisania do złego;RYZYKO: Może przypisać do Bądkowo Kościelne zamiast Bądkowo lub odwrotnie
TC-016;Błędne dopasowanie;High;Lipowa w wielu miastach - ryzyko przypisania do złego miasta;Lipowa;;Brodnica;87-300;ul. Lipowa;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.9;>0.9;Ulica Lipowa występuje w 19+ miejscowościach - ryzyko przypisania do innego miasta;RYZYKO: Może przypisać do Bolesławca, Zakrzewa lub innego miasta z ul. Lipową
TC-017;Błędne dopasowanie;High;Długa w wielu miastach - ryzyko przypisania do złego miasta;Długa;;Brodnica;87-300;ul. Długa;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.9;>0.9;Ulica Długa występuje w 19+ miejscowościach - ryzyko przypisania do innego miasta;RYZYKO: Może przypisać do Głogowa, Dzierżoniowa lub innego miasta
TC-018;Błędne dopasowanie;High;Polna w wielu miastach - ryzyko przypisania do złego miasta;Polna;;Bolesławiec;59-700;ul. Polna;;Bolesławiec;59-700;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;>0.9;>0.9;>0.8;>0.9;Ulica Polna występuje w 19+ miejscowościach - ryzyko przypisania do innego miasta;RYZYKO: Może przypisać do Gromadki, Trzebienia lub innego miasta
TC-019;Błędne dopasowanie;High;Leśna - najpopularniejsza ulica (3670 wystąpień w 3393 miejscowościach);Leśna;;Brodnica;87-300;ul. Leśna;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.8;>0.9;Ulica Leśna występuje w 3393 miejscowościach - bardzo wysokie ryzyko przypisania do złego miasta;RYZYKO: Może przypisać do jednego z 3392 innych miast z ul. Leśną
TC-020;Błędne dopasowanie;High;Polna - druga najpopularniejsza (3553 wystąpień w 3320 miejscowościach);Polna;;Bolesławiec;59-700;ul. Polna;;Bolesławiec;59-700;DOLNOŚLĄSKIE;bolesławiecki;Bolesławiec;>0.9;>0.9;>0.8;>0.9;Ulica Polna występuje w 3320 miejscowościach - bardzo wysokie ryzyko przypisania do złego miasta;RYZYKO: Może przypisać do jednego z 3319 innych miast z ul. Polną
TC-021;Błędne dopasowanie;High;Słoneczna - trzecia najpopularniejsza (3149 wystąpień w 2959 miejscowościach);Słoneczna;;Brodnica;87-300;ul. Słoneczna;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.8;>0.9;Ulica Słoneczna występuje w 2959 miejscowościach - bardzo wysokie ryzyko przypisania do złego miasta;RYZYKO: Może przypisać do jednego z 2958 innych miast z ul. Słoneczną
TC-022;Błędne dopasowanie;High;Krótka - czwarta najpopularniejsza (2575 wystąpień w 2445 miejscowościach);Krótka;;Brodnica;87-300;ul. Krótka;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.8;>0.9;Ulica Krótka występuje w 2445 miejscowościach - bardzo wysokie ryzyko przypisania do złego miasta;RYZYKO: Może przypisać do jednego z 2444 innych miast z ul. Krótką
TC-023;Błędne dopasowanie;High;Ogrodowa - piąta najpopularniejsza (2447 wystąpień w 2333 miejscowościach);Ogrodowa;;Brodnica;87-300;ul. Ogrodowa;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.8;>0.9;Ulica Ogrodowa występuje w 2333 miejscowościach - bardzo wysokie ryzyko przypisania do złego miasta;RYZYKO: Może przypisać do jednego z 2332 innych miast z ul. Ogrodową
TC-024;Błędne dopasowanie;High;Mickiewicza - 1118 wystąpień w 1087 miejscowościach;Mickiewicza;;Brodnica;87-300;ul. Mickiewicza;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.8;>0.9;Ulica Mickiewicza występuje w 1087 miejscowościach - bardzo wysokie ryzyko przypisania do złego miasta;RYZYKO: Może przypisać do jednego z 1086 innych miast z ul. Mickiewicza
TC-025;Błędne dopasowanie;High;Kościelna - 1450 wystąpień w 1398 miejscowościach;Kościelna;;Brodnica;87-300;ul. Kościelna;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.8;>0.9;Ulica Kościelna występuje w 1398 miejscowościach - bardzo wysokie ryzyko przypisania do złego miasta;RYZYKO: Może przypisać do jednego z 1397 innych miast z ul. Kościelną
TC-026;Błędne dopasowanie;High;Automatyczne rozstrzygnięcie wieloznaczności - może wybrać złe;Żwirki i Wigury;;Chełm;22-100;ul. Żwirki i Wigury;;Chełm;22-100;LUBELSKIE;Chełm;Chełm;<0.7;<0.7;<0.7;<0.7;Wieloznaczność ul. vs pl. - automatyczne wybór może być błędny;RYZYKO: Może automatycznie wybrać ul. zamiast pl. lub odwrotnie
TC-027;Błędne dopasowanie;High;Łódź - Maja w 4 wariantach z różnymi numerami w NAZWA_2;Maja;3;Łódź;90-001;ul. Maja;3;Łódź;90-001;ŁÓDZKIE;Łódź;Łódź;<0.4;<0.7;<0.4;<0.4;Dane z powtorzenia - Łódź: ul. 3, park 1, al. 1, park 3;RYZYKO: Może przypisać do złej delegatury i/lub wybrać złą cechę i/lub zły numer
TC-028;Błędne dopasowanie;High;Nowy Targ - Jana Pawła II w 2 wariantach (ul. i rondo);Jana Pawła II;;Nowy Targ;34-400;ul. Jana Pawła II;;Nowy Targ;34-400;MAŁOPOLSKIE;nowotarski;Nowy Targ;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Nowy Targ: ul. vs rondo Jana Pawła II;RYZYKO: Może automatycznie wybrać złą cechę
TC-029;Błędne dopasowanie;High;Gorzów Wielkopolski - wiele kombinacji ul. vs rondo;Kosynierów Gdyńskich;;Gorzów Wielkopolski;66-400;ul. Kosynierów Gdyńskich;;Gorzów Wielkopolski;66-400;LUBUSKIE;Gorzów Wielkopolski;Gorzów Wielkopolski;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Gorzów: ul. vs rondo Kosynierów Gdyńskich;RYZYKO: Może automatycznie wybrać złą cechę
TC-030;Błędne dopasowanie;High;Tomaszów Mazowiecki - wiele kombinacji ul. vs os.;Kanonierów;;Tomaszów Mazowiecki;97-200;os. Kanonierów;;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Tomaszów Mazowiecki: os. vs ul. Kanonierów;RYZYKO: Może automatycznie wybrać złą cechę
TC-031;Błędne dopasowanie;High;Tomaszów Mazowiecki - Tuwima ul. vs rondo;Tuwima;;Tomaszów Mazowiecki;97-200;ul. Tuwima Juliana;;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Tomaszów Mazowiecki: ul. vs rondo Tuwima;RYZYKO: Może automatycznie wybrać złą cechę
TC-032;Błędne dopasowanie;High;Wieruszów - Waryńskiego os. vs ul.;Waryńskiego;;Wieruszów;98-400;ul. Waryńskiego Ludwika;;Wieruszów;98-400;ŁÓDZKIE;wieruszowski;Wieruszów;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Wieruszów: os. vs ul. Waryńskiego;RYZYKO: Może automatycznie wybrać złą cechę
TC-033;Błędne dopasowanie;High;Wieruszów - Fabryczna os. vs ul.;Fabryczna;;Wieruszów;98-400;os. Fabryczna;;Wieruszów;98-400;ŁÓDZKIE;wieruszowski;Wieruszów;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Wieruszów: os. vs ul. Fabryczna;RYZYKO: Może automatycznie wybrać złą cechę
TC-034;Błędne dopasowanie;High;Inowrocław - Kasprowicza pl. vs ul.;Kasprowicza;;Inowrocław;88-100;ul. Kasprowicza Jana;;Inowrocław;88-100;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Inowrocław: pl. vs ul. Kasprowicza;RYZYKO: Może automatycznie wybrać złą cechę
TC-035;Błędne dopasowanie;High;Chełmno - Nad Browiną os. vs ul.;Nad Browiną;;Chełmno;86-200;ul. Nad Browiną;;Chełmno;86-200;KUJAWSKO-POMORSKIE;chełmiński;Chełmno;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Chełmno: os. vs ul. Nad Browiną;RYZYKO: Może automatycznie wybrać złą cechę
TC-036;Błędne dopasowanie;High;Krościenko nad Dunajcem - Grotowskiego ul. vs park;Grotowskiego;;Krościenko nad Dunajcem;34-450;park Grotowskiego inż. Władysława;;Krościenko nad Dunajcem;34-450;MAŁOPOLSKIE;nowotarski;Krościenko nad Dunajcem;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Krościenko: ul. vs park Grotowskiego z różnymi NAZWA_2;RYZYKO: Może automatycznie wybrać złą cechę i/lub zły wariant NAZWA_2
TC-037;Błędne dopasowanie;High;Tomaszów Mazowiecki - Rodego park vs ul. z różnymi NAZWA_2;Rodego;;Tomaszów Mazowiecki;97-200;park Rodego im.;;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Tomaszów Mazowiecki: park vs ul. Rodego z różnymi NAZWA_2;RYZYKO: Może automatycznie wybrać złą cechę i/lub zły wariant NAZWA_2
TC-038;Błędne dopasowanie;High;Tomaszów Mazowiecki - Hubala os. vs ul. z różnymi NAZWA_2;Hubala;;Tomaszów Mazowiecki;97-200;os. Hubala mjr;;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Tomaszów Mazowiecki: os. vs ul. Hubala z różnymi NAZWA_2;RYZYKO: Może automatycznie wybrać złą cechę i/lub zły wariant NAZWA_2
TC-039;Błędne dopasowanie;High;Tomaszów Mazowiecki - Zapiecek os. vs ul.;Zapiecek;;Tomaszów Mazowiecki;97-200;ul. Zapiecek;;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Tomaszów Mazowiecki: os. vs ul. Zapiecek;RYZYKO: Może automatycznie wybrać złą cechę
TC-040;Błędne dopasowanie;High;Tomaszów Mazowiecki - Strzelecka os. vs ul.;Strzelecka;;Tomaszów Mazowiecki;97-200;ul. Strzelecka;;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Tomaszów Mazowiecki: os. vs ul. Strzelecka;RYZYKO: Może automatycznie wybrać złą cechę
TC-041;Błędne dopasowanie;High;Automatyczne wybór z wieloznaczności - może wybrać złe;Dmowskiego;;Lublin;20-001;ul. Dmowskiego;;Lublin;20-001;LUBELSKIE;Lublin;Lublin;<0.7;<0.7;<0.7;<0.7;Wieloznaczność ul. vs rondo - automatyczny wybór może być błędny;RYZYKO: Może automatycznie wybrać ul. zamiast rondo lub odwrotnie
TC-042;Błędne dopasowanie;High;Automatyczne wybór - może wybrać złe osiedle;Górna;;Tomaszów Mazowiecki;97-200;os. Górna;;Tomaszów Mazowiecki;97-200;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki;<0.7;<0.7;<0.7;<0.7;Wieloznaczność ul. vs os. - automatyczny wybór może być błędny;RYZYKO: Może automatycznie wybrać os. zamiast ul. lub odwrotnie
TC-043;Błędne dopasowanie;High;Brzeziny - Jana Pawła II w 2 województwach (ŁÓDZKIE i ŚLĄSKIE);Jana Pawła II;;Brzeziny;95-060;ul. Jana Pawła II;;Brzeziny;95-060;null;null;null;<0.5;<0.5;<0.5;<0.5;Dane z powtorzenia - Brzeziny: pl. vs ul. Jana Pawła II w 2 województwach;RYZYKO: Może przypisać do złego województwa (ŁÓDZKIE vs ŚLĄSKIE) i/lub wybrać złą cechę
TC-044;Błędne dopasowanie;High;Świdnica - Drzymały w 2 miejscowościach (DOLNOŚLĄSKIE i LUBUSKIE);Drzymały;;Świdnica;;pl. Drzymały Michała;;Świdnica;;null;null;null;<0.5;<0.5;<0.5;<0.5;Dane z powtorzenia - Świdnica: pl. w DOLNOŚLĄSKIE vs ul. w LUBUSKIE;RYZYKO: Może przypisać do złego województwa (DOLNOŚLĄSKIE vs LUBUSKIE) i/lub wybrać złą cechę
TC-045;Błędne dopasowanie;Medium;Częściowe dane mogą prowadzić do błędnego dopasowania;Lipowa;;Brodnica;87-300;ul. Lipowa;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;0;<0.7;Brak kodu pocztowego i numeru - może dopasować do innego miasta;RYZYKO: Może dopasować do innego miasta z ul. Lipową jeśli brak dodatkowych danych
TC-046;Błędne dopasowanie;Medium;Tylko miasto może prowadzić do błędnego dopasowania;null;;Brodnica;87-300;null;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;0;>0.9;0;<0.5;Tylko miasto - może dopasować do miasta o podobnej nazwie;RYZYKO: Może dopasować do miasta o podobnej nazwie jeśli nie ma ulicy do weryfikacji
TC-047;Błędne dopasowanie;Medium;Częściowe dopasowanie może być błędne;Lipowa;15;Brodnica;87-300;ul. Lipowa;15;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.9;>0.9;Tylko ulica i miasto - może dopasować do innego miasta z tą samą ulicą;RYZYKO: Może przypisać do innego miasta z ul. Lipową jeśli kod pocztowy nie pasuje
TC-048;Błędne dopasowanie;Medium;Brak kodu pocztowego - może przypisać do złego miasta;Lipowa;;Brodnica;87-300;ul. Lipowa;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;0;<0.7;Brak kodu pocztowego - może przypisać do innego miasta z ul. Lipową;RYZYKO: Może przypisać do Bolesławca, Zakrzewa lub innego miasta z ul. Lipową
TC-049;Błędne dopasowanie;Medium;Tylko miasto - może przypisać do złego miasta;null;;Brodnica;87-300;null;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;0;>0.9;0;<0.5;Tylko miasto - może przypisać do innego miasta o podobnej nazwie;RYZYKO: Może przypisać do miasta o podobnej nazwie
TC-050;Błędne dopasowanie;Medium;Różne formaty kodu mogą prowadzić do błędnego dopasowania;Lipowa;15;Brodnica;87-300;ul. Lipowa;15;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.8;>0.9;"Kod bez myślnika ""87300"" - może dopasować do innego miasta z podobnym kodem";RYZYKO: Może dopasować do miasta z kodem 87-300 jeśli format nie jest znormalizowany
TC-051;Błędne dopasowanie;Medium;Kod ze spacją może prowadzić do błędnego dopasowania;Lipowa;15;Brodnica;87-300;ul. Lipowa;15;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.8;>0.9;"Kod ze spacją ""87 300"" - może dopasować do innego miasta";RYZYKO: Może dopasować do miasta z kodem 87-300 jeśli format nie jest znormalizowany
TC-052;Błędne dopasowanie;Medium;Podobny kod pocztowy - może przypisać do innego miasta;Lipowa;;Brodnica;87-300;ul. Lipowa;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;>0.9;>0.9;>0.7;>0.8;Kod 87-301 vs 87-300 - może przypisać do innego miasta z podobnym kodem;RYZYKO: Może przypisać do miasta z kodem 87-301 jeśli istnieje
TC-053;Błędne dopasowanie;Medium;Błędny kod pocztowy - może przypisać do innego miasta;Lipowa;;Brodnica;87-300;ul. Lipowa;;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.9;<0.3;<0.5;Kod 20-001 (Warszawa) vs 87-300 (Brodnica) - może przypisać do Warszawy;RYZYKO: Może przypisać do Warszawy zamiast Brodnicy
TC-054;Błędne dopasowanie;Medium;Włocławek - Sienkiewicza z różnymi NAZWA_2;Sienkiewicza;;Włocławek;87-800;park Sienkiewicza Henryka;;Włocławek;87-800;KUJAWSKO-POMORSKIE;Włocławek;Włocławek;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Włocławek: park vs ul. Sienkiewicza z różnymi NAZWA_2;RYZYKO: Może dopasować do złego wariantu NAZWA_2
TC-055;Błędne dopasowanie;Medium;Nowy Targ - Krasińskiego z różnymi NAZWA_2;Krasińskiego;;Nowy Targ;34-400;pl. Krasińskiego Zygmunta;;Nowy Targ;34-400;MAŁOPOLSKIE;nowotarski;Nowy Targ;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Nowy Targ: pl. vs ul. Krasińskiego z różnymi NAZWA_2;RYZYKO: Może dopasować do złego wariantu NAZWA_2
TC-056;Błędne dopasowanie;Medium;Pruszków - Kościuszki z różnymi NAZWA_2;Kościuszki;;Pruszków;05-800;ul. Kościuszki Tadeusza;;Pruszków;05-800;MAZOWIECKIE;pruszkowski;Pruszków;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Pruszków: park vs ul. Kościuszki z różnymi NAZWA_2;RYZYKO: Może dopasować do złego wariantu NAZWA_2
TC-057;Błędne dopasowanie;Medium;Łowicz - Broniewskiego z różnymi NAZWA_2;Broniewskiego;;Łowicz;99-400;os. Broniewskiego Władysława;;Łowicz;99-400;ŁÓDZKIE;łowicki;Łowicz;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Łowicz: os. vs ul. Broniewskiego z różnymi NAZWA_2;RYZYKO: Może dopasować do złego wariantu NAZWA_2
TC-058;Błędne dopasowanie;Medium;Łowicz - Konopnickiej z różnymi NAZWA_2;Konopnickiej;;Łowicz;99-400;os. Konopnickiej Marii;;Łowicz;99-400;ŁÓDZKIE;łowicki;Łowicz;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Łowicz: os. vs ul. Konopnickiej z różnymi NAZWA_2;RYZYKO: Może dopasować do złego wariantu NAZWA_2
TC-059;Błędne dopasowanie;Medium;Krościenko nad Dunajcem - Grotowskiego z różnymi NAZWA_2;Grotowskiego;;Krościenko nad Dunajcem;34-450;ul. Grotowskiego Władysława;;Krościenko nad Dunajcem;34-450;MAŁOPOLSKIE;nowotarski;Krościenko nad Dunajcem;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Krościenko: ul. vs park Grotowskiego z różnymi NAZWA_2;RYZYKO: Może dopasować do złego wariantu NAZWA_2
TC-060;Błędne dopasowanie;Medium;Koluszki - Piłsudskiego z różnymi NAZWA_2;Piłsudskiego;;Koluszki;95-040;pl. Piłsudskiego Marszałka Józefa;;Koluszki;95-040;ŁÓDZKIE;łódzki wschodni;Koluszki;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Koluszki: ul. vs pl. Piłsudskiego z różnymi NAZWA_2;RYZYKO: Może dopasować do złego wariantu NAZWA_2
TC-061;Błędne dopasowanie;Medium;Kobylany - Kaczorowskiego z różnymi NAZWA_2;Kaczorowskiego;;Kobylany;21-540;ul. Kaczorowskiego Ryszarda;;Kobylany;21-540;LUBELSKIE;bialski;Terespol;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Kobylany: ul. vs pl. Kaczorowskiego z różnymi NAZWA_2;RYZYKO: Może dopasować do złego wariantu NAZWA_2
TC-062;Błędne dopasowanie;Medium;Łowicz - Lament z długim NAZWA_2;Lament;;Łowicz;99-400;skwer Lament Błogosławionej Bolesławy;;Łowicz;99-400;ŁÓDZKIE;łowicki;Łowicz;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Łowicz: skwer vs ul. Lament z długim NAZWA_2;RYZYKO: Może dopasować do złego wariantu z powodu długiego NAZWA_2
TC-063;Błędne dopasowanie;Medium;Koluszki - Listopada z numerem w NAZWA_2;Listopada;;Koluszki;95-040;ul. Listopada;11;Koluszki;95-040;ŁÓDZKIE;łódzki wschodni;Koluszki;<0.7;<0.7;<0.7;<0.7;Dane z powtorzenia - Koluszki: os. vs ul. Listopada z numerem 11 w NAZWA_2;RYZYKO: Może dopasować do złego wariantu z powodu numeru w NAZWA_2
TC-064;Błędne dopasowanie;Medium;Numer budynku może prowadzić do błędnego dopasowania ulicy;Lipowa;150;Brodnica;87-300;ul. Lipowa;150;Brodnica;87-300;KUJAWSKO-POMORSKIE;brodnicki;Brodnica;<0.5;>0.9;>0.8;<0.7;Numer 150 poza zakresem - może dopasować do innej ulicy Lipowej;RYZYKO: Może dopasować do innej ulicy Lipowej w innym mieście z numerem w zakresie
